package	repo	files	license	binary_rpm	source_rpm
diffutils-3.3-5.el7.x86_64	centos-os	4	GPLv3+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/diffutils-3.3-5.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/diffutils-3.3-5.el7.src.rpm
dmidecode-3.2-5.el7_9.1.x86_64	centos-updates	4	GPLv2+	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/dmidecode-3.2-5.el7_9.1.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/dmidecode-3.2-5.el7_9.1.src.rpm
dosfstools-3.0.20-10.el7.x86_64	centos-os	3	GPLv3+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/dosfstools-3.0.20-10.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/dosfstools-3.0.20-10.el7.src.rpm
doxygen-1.8.5-4.el7.x86_64	centos-os	1	GPL+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/doxygen-1.8.5-4.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/doxygen-1.8.5-4.el7.src.rpm
dracut-033-572.el7.x86_64	centos-os	2	GPLv2+ and LGPLv2+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/dracut-033-572.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/dracut-033-572.el7.src.rpm
dwz-0.11-3.el7.x86_64	centos-os	1	GPLv2+ and GPLv3+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/dwz-0.11-3.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/dwz-0.11-3.el7.src.rpm
dyninst-9.3.1-3.el7.x86_64	centos-os	13	LGPLv2+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/dyninst-9.3.1-3.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/dyninst-9.3.1-3.el7.src.rpm
e2fsprogs-1.42.9-19.el7.x86_64	centos-os	23	GPLv2	https://vault.centos.org/7.9.2009/os/x86_64/Packages/e2fsprogs-1.42.9-19.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/e2fsprogs-1.42.9-19.el7.src.rpm
e2fsprogs-libs-1.42.9-19.el7.x86_64	centos-os	2	GPLv2 and LGPLv2	https://vault.centos.org/7.9.2009/os/x86_64/Packages/e2fsprogs-libs-1.42.9-19.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/e2fsprogs-1.42.9-19.el7.src.rpm
ebtables-2.0.10-16.el7.x86_64	centos-os	25	GPLv2+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/ebtables-2.0.10-16.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/ebtables-2.0.10-16.el7.src.rpm
ed-1.9-4.el7.x86_64	centos-os	1	GPLv3+, GFDL	https://vault.centos.org/7.9.2009/os/x86_64/Packages/ed-1.9-4.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/ed-1.9-4.el7.src.rpm
efibootmgr-17-2.el7.x86_64	centos-os	1	GPLv2+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/efibootmgr-17-2.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/efibootmgr-17-2.el7.src.rpm
efivar-libs-36-12.el7.x86_64	centos-os	2	LGPLv2+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/efivar-libs-36-12.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/efivar-36-12.el7.src.rpm
elfutils-0.176-5.el7.x86_64	centos-os	15	GPLv3+ and (GPLv2+ or LGPLv3+)	https://vault.centos.org/7.9.2009/os/x86_64/Packages/elfutils-0.176-5.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/elfutils-0.176-5.el7.src.rpm
elfutils-libelf-0.176-5.el7.x86_64	centos-os	1	GPLv2+ or LGPLv3+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/elfutils-libelf-0.176-5.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/elfutils-0.176-5.el7.src.rpm
elfutils-libs-0.176-5.el7.x86_64	centos-os	17	GPLv2+ or LGPLv3+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/elfutils-libs-0.176-5.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/elfutils-0.176-5.el7.src.rpm
ethtool-4.8-10.el7.x86_64	centos-os	1	GPLv2	https://vault.centos.org/7.9.2009/os/x86_64/Packages/ethtool-4.8-10.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/ethtool-4.8-10.el7.src.rpm
expat-2.1.0-14.el7_9.x86_64	centos-updates	2	MIT	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/expat-2.1.0-14.el7_9.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/expat-2.1.0-14.el7_9.src.rpm
file-5.11-37.el7.x86_64	centos-os	1	BSD	https://vault.centos.org/7.9.2009/os/x86_64/Packages/file-5.11-37.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/file-5.11-37.el7.src.rpm
file-libs-5.11-37.el7.x86_64	centos-os	1	BSD	https://vault.centos.org/7.9.2009/os/x86_64/Packages/file-libs-5.11-37.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/file-5.11-37.el7.src.rpm
findutils-4.5.11-6.el7.x86_64	centos-os	3	GPLv3+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/findutils-4.5.11-6.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/findutils-4.5.11-6.el7.src.rpm
fipscheck-1.4.1-6.el7.x86_64	centos-os	2	BSD	https://vault.centos.org/7.9.2009/os/x86_64/Packages/fipscheck-1.4.1-6.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/fipscheck-1.4.1-6.el7.src.rpm
fipscheck-lib-1.4.1-6.el7.x86_64	centos-os	1	BSD	https://vault.centos.org/7.9.2009/os/x86_64/Packages/fipscheck-lib-1.4.1-6.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/fipscheck-1.4.1-6.el7.src.rpm
flex-2.5.37-6.el7.x86_64	centos-os	1	BSD and LGPLv2+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/flex-2.5.37-6.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/flex-2.5.37-6.el7.src.rpm
freetype-2.8-14.el7_9.1.x86_64	centos-updates	1	(FTL or GPLv2+) and BSD and MIT and Public Domain and zlib with acknowledgement	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/freetype-2.8-14.el7_9.1.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/freetype-2.8-14.el7_9.1.src.rpm
fxload-2002_04_11-16.el7.x86_64	centos-os	1	GPLv2+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/fxload-2002_04_11-16.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/fxload-2002_04_11-16.el7.src.rpm
gawk-4.0.2-4.el7_3.1.x86_64	centos-os	5	GPLv3+ and GPL and LGPLv3+ and LGPL and BSD	https://vault.centos.org/7.9.2009/os/x86_64/Packages/gawk-4.0.2-4.el7_3.1.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/gawk-4.0.2-4.el7_3.1.src.rpm
gcc-4.8.5-44.el7.x86_64	centos-os	21	GPLv3+ and GPLv3+ with exceptions and GPLv2+ with exceptions and LGPLv2+ and BSD	https://vault.centos.org/7.9.2009/os/x86_64/Packages/gcc-4.8.5-44.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/gcc-4.8.5-44.el7.src.rpm
gcc-c++-4.8.5-44.el7.x86_64	centos-os	5	GPLv3+ and GPLv3+ with exceptions and GPLv2+ with exceptions and LGPLv2+ and BSD	https://vault.centos.org/7.9.2009/os/x86_64/Packages/gcc-c++-4.8.5-44.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/gcc-4.8.5-44.el7.src.rpm
gcc-gfortran-4.8.5-44.el7.x86_64	centos-os	2	GPLv3+ and GPLv3+ with exceptions and GPLv2+ with exceptions and LGPLv2+ and BSD	https://vault.centos.org/7.9.2009/os/x86_64/Packages/gcc-gfortran-4.8.5-44.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/gcc-4.8.5-44.el7.src.rpm
gdb-7.6.1-120.el7.x86_64	centos-os	1	GPLv3+ and GPLv3+ with exceptions and GPLv2+ and GPLv2+ with exceptions and GPL+ and LGPLv2+ and BSD and Public Domain	https://vault.centos.org/7.9.2009/os/x86_64/Packages/gdb-7.6.1-120.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/gdb-7.6.1-120.el7.src.rpm
gdbm-1.10-8.el7.x86_64	centos-os	3	GPLv3+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/gdbm-1.10-8.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/gdbm-1.10-8.el7.src.rpm
gdisk-0.8.10-3.el7.x86_64	centos-os	4	GPLv2	https://vault.centos.org/7.9.2009/os/x86_64/Packages/gdisk-0.8.10-3.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/gdisk-0.8.10-3.el7.src.rpm
gettext-0.19.8.1-3.el7.x86_64	centos-os	22	GPLv3+ and LGPLv2+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/gettext-0.19.8.1-3.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/gettext-0.19.8.1-3.el7.src.rpm
gettext-devel-0.19.8.1-3.el7.x86_64	centos-os	1	LGPLv2+ and GPLv3+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/gettext-devel-0.19.8.1-3.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/gettext-0.19.8.1-3.el7.src.rpm
gettext-libs-0.19.8.1-3.el7.x86_64	centos-os	4	LGPLv2+ and GPLv3+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/gettext-libs-0.19.8.1-3.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/gettext-0.19.8.1-3.el7.src.rpm
git-1.8.3.1-23.el7_8.x86_64	centos-os	126	GPLv2	https://vault.centos.org/7.9.2009/os/x86_64/Packages/git-1.8.3.1-23.el7_8.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/git-1.8.3.1-23.el7_8.src.rpm
glib2-2.56.1-9.el7_9.x86_64	centos-updates	11	LGPLv2+	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/glib2-2.56.1-9.el7_9.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/glib2-2.56.1-9.el7_9.src.rpm
glibc-2.17-322.el7_9.x86_64	centos-updates	281	LGPLv2+ and LGPLv2+ with exceptions and GPLv2+	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/glibc-2.17-322.el7_9.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/glibc-2.17-322.el7_9.src.rpm
glibc-2.17-324.el7_9.x86_64	centos-updates	1	LGPLv2+ and LGPLv2+ with exceptions and GPLv2+	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/glibc-2.17-324.el7_9.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/glibc-2.17-324.el7_9.src.rpm
glibc-2.17-325.el7_9.x86_64	centos-updates	2	LGPLv2+ and LGPLv2+ with exceptions and GPLv2+	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/glibc-2.17-325.el7_9.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/glibc-2.17-325.el7_9.src.rpm
glibc-2.17-326.el7_9.3.x86_64	centos-updates	1	LGPLv2+ and LGPLv2+ with exceptions and GPLv2+	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/glibc-2.17-326.el7_9.3.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/glibc-2.17-326.el7_9.3.src.rpm
glibc-2.17-326.el7_9.x86_64	centos-updates	1	LGPLv2+ and LGPLv2+ with exceptions and GPLv2+	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/glibc-2.17-326.el7_9.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/glibc-2.17-326.el7_9.src.rpm
glibc-common-2.17-322.el7_9.x86_64	centos-updates	12	LGPLv2+ and LGPLv2+ with exceptions and GPLv2+	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/glibc-common-2.17-322.el7_9.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/glibc-2.17-322.el7_9.src.rpm
glibc-devel-2.17-322.el7_9.x86_64	centos-updates	6	LGPLv2+ and LGPLv2+ with exceptions and GPLv2+	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/glibc-devel-2.17-322.el7_9.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/glibc-2.17-322.el7_9.src.rpm
gmp-6.0.0-15.el7.x86_64	centos-os	2	LGPLv3+ or GPLv2+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/gmp-6.0.0-15.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/gmp-6.0.0-15.el7.src.rpm
gnupg2-2.0.22-5.el7_5.x86_64	centos-os	16	GPLv3+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/gnupg2-2.0.22-5.el7_5.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/gnupg2-2.0.22-5.el7_5.src.rpm
